2025-07-28 00:01:37.397 | INFO | PID:252 | learner_proxy.run_once:253 - learner_proxy send save_model data to learner
2025-07-28 00:01:37.399 | INFO | PID:252 | learner_proxy.run_once:264 - learner_proxy recv save_model data result from learner success
2025-07-28 00:01:37.441 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:01:37.562 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:01:37.595 | INFO | PID:252 | learner_proxy.run_once:253 - learner_proxy send save_model data to learner
2025-07-28 00:01:37.599 | INFO | PID:252 | learner_proxy.run_once:264 - learner_proxy recv save_model data result from learner success
2025-07-28 00:01:37.614 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:01:37.794 | INFO | PID:252 | learner_proxy.run_once:253 - learner_proxy send save_model data to learner
2025-07-28 00:01:37.796 | INFO | PID:252 | learner_proxy.run_once:264 - learner_proxy recv save_model data result from learner success
2025-07-28 00:01:42.002 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:02:05.455 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:02:05.485 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:02:05.491 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:02:09.665 | INFO | PID:251 | predict_common.standard_load_model_detail:319 - aisrv predict had not get pull model file, so return
2025-07-28 00:02:09.851 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:09.879 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:09.907 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:09.941 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:09.976 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.003 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.031 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.062 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.087 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.115 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.143 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.164 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.186 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.207 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.231 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.254 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.296 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.324 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.352 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.380 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.401 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.436 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.476 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.500 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.529 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.560 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
2025-07-28 00:02:10.586 | INFO | PID:255 | train_workflow.run_episodes:128 - aisrv game_info_terminated:00 
